Posted Date,Job Title,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-10-18 20:49:55.599354,"UX Designer (UI-UX, Figma, Illustrator)",UI-UX,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-10-18 20:49:55.599354,Senior/Expert AWS Engineer (Cloud Center of Excellence),AWS,SMG Swiss Marketplace Group,Hybrid,IT Product,Software Products and Web Services,51-150,Switzerland
2024-10-18 20:49:55.599354,Ruby On Rails Engineer (Senior/Tech Lead),Ruby on Rails,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,IT Product,Financial Services,301-500,Japan
2024-10-18 20:49:55.599354,"Senior Officer, Business Itelligence",Data Analyst,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-10-18 20:49:55.599354,Senior UI UX Designer,UI-UX,Simple Tech Investment,At office,IT Product,Financial Services,301-500,Vietnam
2024-10-17 20:49:55.599354,Mid/Senior Quality Engineer,QA QC,NAB Innovation Centre Vietnam,Hybrid,IT Product,Banking,1000+,Australia
2024-10-17 20:49:55.599354,Quality Engineering Manager,Manager,NAB Innovation Centre Vietnam,Hybrid,IT Product,Banking,1000+,Australia
2024-10-17 20:49:55.599354,"Middle Backend/Frontend Developer (Node.js, TypeScript)",NodeJS,CÔNG TY CỔ PHẦN TQC SOLUTION,At office,IT Product,IT Services and IT Consulting,1-50,Vietnam
2024-10-17 20:49:55.599354,IT - AI Solutions Architect,Solution Architect,Ngân Hàng Á Châu | ACB,At office,IT Product,Banking,1000+,Vietnam
2024-10-17 20:49:55.599354,"DevOps Engineer (Cloud, AWS)",DevOps,TymeX,Hybrid,IT Product,Banking,301-500,Singapore
2024-10-17 20:49:55.599354,"Automation Test Engineer (Cypress, English)",Automation Test,RAKSUL Vietnam,Hybrid,IT Product,Software Products and Web Services,51-150,Japan
2024-10-17 20:49:55.599354,Senior System Engineer,System Engineer,IVS,At office,IT Outsourcing,IT Services and IT Consulting,301-500,Japan
2024-10-17 20:49:55.599354,Senior IT Infrastructure Engineer (Networking),System Admin,IVS,At office,IT Outsourcing,IT Services and IT Consulting,301-500,Japan
2024-10-17 20:49:55.599354,IT Security Operation Engineer / SecOps Engineer,System Engineer,IVS,At office,IT Outsourcing,IT Services and IT Consulting,301-500,Japan
2024-10-17 20:49:55.599354,Java Developer (Level Junior - Senior) ~$2000 NET,Java,Giao Hàng Tiết Kiệm,At office,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam
2024-10-17 20:49:55.599354,Technical Scrum Master (Agile),Scrum,TymeX,Hybrid,IT Product,Banking,301-500,Singapore
2024-10-17 20:49:55.599354,"Senior Frontend (JavaScript/TypeScript, Svelte) - SaaS",TypeScript,Modern Coding,At office,IT Product,Software Products and Web Services,1-50,Vietnam
2024-10-17 20:49:55.599354,Software Development Manager,Manager,SSI Securities Corporation,At office,IT Product,Financial Services,1000+,Vietnam
2024-10-17 20:49:55.599354,TechLead/Senior~Middle (NodeJS/Javascript),NodeJS,"Smaregi Vietnam Co., Ltd.",At office,IT Product,IT Services and IT Consulting,301-500,Japan
2024-10-17 20:49:55.599354,QC Engineer,Tester,Pizza Hut Digital & Technology,Hybrid,IT Product,Software Products and Web Services,51-150,United Kingdom
2024-10-17 20:49:55.599354,Senior Java Engineer,Java,what3words,At office,IT Product,Software Products and Web Services,151-300,United Kingdom
2024-10-17 20:49:55.599354,Backend/ Cloud Engineer,AWS,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),At office,IT Product,IT Hardware and Computing,51-150,Japan
2024-10-17 20:49:55.599354,Data Governance Expert,Business Intelligence,VinFast,At office,IT Product,"Transportation, Logistics and Warehouse",301-500,Vietnam
2024-10-17 20:49:55.599354,Vehicle Tester (Automotive Tester)_Haiphong location,Automation Test,Luxoft Vietnam,At office,IT Outsourcing,Software Development Outsourcing,51-150,United States
2024-10-17 20:49:55.599354,Bridge Software Engineer (BrSE),Bridge Engineer,NAL Solutions,At office,IT Service and IT Consulting,IT Services and IT Consulting,151-300,Japan
2024-10-17 20:49:55.599354,"Expert, IT Network & Security Infrastructure Operations",Security,Techcombank,At office,IT Product,Banking,1000+,Vietnam
2024-10-17 20:49:55.599354,Embedded Engineer (Automation Test),Embedded,FPT Software,At office,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam
2024-10-17 20:49:55.599354,Firmware Software Developer (C/C++/English),C language,HCL Vietnam Company Limited,At office,IT Outsourcing,Software Development Outsourcing,501-1000,India
2024-10-17 20:49:55.599354,Software Development - Integration Technology (ESB),Database,FE CREDIT,At office,IT Product,Financial Services,1000+,Vietnam
2024-10-17 20:49:55.599354,Backend Technical Lead (Java),Java,TymeX,Hybrid,IT Product,Banking,301-500,Singapore
2024-10-17 20:49:55.599354,"DevOps Engineer (AWS, Jenkins, Nexus)",AWS,LG CNS Việt Nam,At office,IT Product,Manufacturing and Engineering,151-300,Vietnam
2024-10-17 20:49:55.599354,Presales Engineer (Solution Architect/Cloud/GCP),Presale,Cloud Ace,At office,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam
2024-10-17 20:49:55.599354,APP Operating Engineer (Banking/Finance),Java,CÔNG TY TNHH LOTTE INNOVATE VIỆT NAM,At office,IT Product,IT Services and IT Consulting,151-300,South Korea
2024-10-17 20:49:55.599354,"Senior DevOps Engineer (AWS, GCP)",DevOps,HSC,At office,IT Product,Financial Services,501-1000,Vietnam
2024-10-17 20:49:55.599354,Mobile Technical Lead,Swift,TymeX,Hybrid,IT Product,Banking,301-500,Singapore
2024-10-17 20:49:55.599354,Business Analyst - CRM,Business Analyst,DNSE,At office,IT Product,Financial Services,151-300,Vietnam
2024-10-17 20:49:55.599354,Mid/Senior Data Analytics Engineer (HCL x ANZ Bank),Data Analyst,HCL Vietnam Company Limited,At office,IT Outsourcing,Software Development Outsourcing,501-1000,India
