Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-18 20:49:55.599354,IT Comtor (Japanese N1/N2),Japanese,IT Support,NULL,WBC Việt Nam,At office,Ha Noi,IT Outsourcing,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"Mid/Senior Product Owner (Agile, PPO)",Agile,Database,Scrum,MTI TECHNOLOGY,At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,151-300,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"Principal Backend Engineer (Java,Spring Boot)",Java,Spring,Kotlin,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,Ha Noi,IT Product,Financial Services,301-500,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,SRE/ DevOps Engineer (AWS),AWS,DevOps,DevSecOps,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,Ho Chi Minh,IT Product,Financial Services,301-500,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"Sr./Lead Backend (NodeJS, JavaScript)",NodeJS,JavaScript,NoSQL,Silicon Prime Labs,Hybrid,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,51-150,United States,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,Cyber Security Manager (Governance/InfraSec),Security,Cloud,DevSecOps,Be Group,At office,Ho Chi Minh,IT Product,"Transportation, Logistics and Warehouse",301-500,Vietnam,Monday - Friday,Extra salary for OT
2024-10-18 20:49:55.599354,Senior iOS Native Engineer (Swift),iOS,Swift,NULL,"ANDPAD VietNam Co., Ltd",Hybrid,Ho Chi Minh - Ha Noi,IT Product,IT Services and IT Consulting,51-150,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Senior QA/QC Test Engineer/Designer (Japanese N2+),Tester,Japanese,QA QC,"ANDPAD VietNam Co., Ltd",Hybrid,Ho Chi Minh - Ha Noi,IT Product,IT Services and IT Consulting,51-150,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,"Senior Golang Developer (Backend, AWS, MySQL)",Golang,MySQL,AWS,"ANDPAD VietNam Co., Ltd",Hybrid,Ho Chi Minh - Ha Noi,IT Product,IT Services and IT Consulting,51-150,Japan,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Resilience & Incident Manager - Digital Banking,Manager,English,IT Support,TymeX,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Incident Manager - Digital Banking,Manager,English,IT Support,TymeX,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-10-18 20:49:55.599354,Mid Mobile Trading System Developer (Android/iOS),JavaScript,Android,iOS,Daoukiwoom Innovation,At office,Ho Chi Minh,IT Service and IT Consulting,IT Services and IT Consulting,51-150,South Korea,Monday - Friday,No OT
